stage,arm,actor_source,critic_source,reward_access,seed,profile,disturbance_differential_energy,off_diagonal_response_energy,source_sha256
half,ap_cn_r1,P,N,1,401,canary_eval_a,0.00032171261894034536,5.0499564935218084e-05,87a46e5654818a822f6ae0f0a50726fa477b683e3b75ab6966eb53dd06b59afa
half,ap_cn_r1,P,N,1,401,canary_eval_b,0.0007248365559083723,8.307546382460177e-05,a0e3a280f273e1cc16eb04bd68645a0f9e303cf61dda5b300991c32130baf739
half,ap_cn_r1,P,N,1,401,canary_eval_c,0.0007555569941147951,6.212927417548928e-05,d32fe0aa4098078d789fab7c6dca325a5120bfe67a0e6c47b0b421667bf41b29
half,ap_cn_r1,P,N,1,401,canary_eval_d,0.00031764196489795344,9.087819190336475e-05,4eb19f0e7cb56c2f2f60814ce8a0e08898d356cff1104a964e0d06925499635c
half,ap_cn_r1,P,N,1,402,canary_eval_a,0.0002965656865577747,6.360314591833939e-05,8642771e253f94e368d5f4dbab133307b9eba0475ade07ad71ef79e4cc52f195
half,ap_cn_r1,P,N,1,402,canary_eval_b,0.0005315409221547707,8.106674672600185e-05,e95fe2f37339a97fc7c11f3374a07e4e1cc55391016c2141724acf7a8814f5f0
half,ap_cn_r1,P,N,1,402,canary_eval_c,0.0006491382428557098,7.363223279432612e-05,e621547a1baa1d9f3c6b760f853a7a9ebf30bdc41f835c13ae7c5b3d2ecc0960
half,ap_cn_r1,P,N,1,402,canary_eval_d,0.00026161631958120904,9.994650907146022e-05,9692ea79d80671274a94fca8d357625f3af8caf83f127da4269bfbb6d5ac9622
half,ap_cn_r1,P,N,1,403,canary_eval_a,0.00032093794980114906,7.123577183359795e-05,acbef2fdcb9fa842ae1d6d0a804952adae07bbee3c1c821a6605b01876c75588
half,ap_cn_r1,P,N,1,403,canary_eval_b,0.000680445793683381,7.450523270467795e-05,ffab9da8df475e1712fe2e5146457643daf47ef2802567078d01027d1efe8960
half,ap_cn_r1,P,N,1,403,canary_eval_c,0.000678052628915572,8.768409603765958e-05,123f8f19e1822f42dc5b26ddd35d5420daece0d4f7259088f27567553a3a73cf
half,ap_cn_r1,P,N,1,403,canary_eval_d,0.0004119038768765948,0.00010838076493940635,3de3852dcc2615ff157b706909bdf7d01a3f42a7bf923fac1be152fe8b4da782
half,ap_cn_r1,P,N,1,404,canary_eval_a,0.0005259944258841834,0.00011321561068953122,26d63d459d9b6c705e971865531699bcad81129a116289d67afac8e55442c2ef
half,ap_cn_r1,P,N,1,404,canary_eval_b,0.0007063710794402648,5.451996779133314e-05,2d9a8a084e9161c4249e48dba4911d7d9ef80f1a0b2bd04accaf5217b65148df
half,ap_cn_r1,P,N,1,404,canary_eval_c,0.000576078406929703,8.30654561800646e-05,4739734f4964783356703d75d5337b521e56bd5aed7dd7bd3a0877ee48d52a9b
half,ap_cn_r1,P,N,1,404,canary_eval_d,0.00028867716892673907,6.790073732415006e-05,707b080fc6af22e6913bb3822d056cb587b6031b89db4983eda59c46443ae8c7
half,ap_cn_r1,P,N,1,405,canary_eval_a,0.0002986785841890164,0.00010248359674594411,2c58ce42d0ca4c6400b857f1bb82bd04e38bbe904b0a0faf07752e2ff6f1d0b8
half,ap_cn_r1,P,N,1,405,canary_eval_b,0.0007386481786252376,0.00011586698038206194,9aaa57e2f766e60dc2a82ee873d208350fd47791806694b5e98b679c20162b25
half,ap_cn_r1,P,N,1,405,canary_eval_c,0.0005112101967665667,0.00012884415648916088,d650ec1982fe412d97e4eb750da321f9a4004c5b10f95ebcbf0287d1e8baf3b7
half,ap_cn_r1,P,N,1,405,canary_eval_d,0.00022424582285564436,0.00010562797932812997,2d88a37107c405b8b34c07297497ef173dccf4c83bfc8a22a45d93847325a54b
half,ap_cn_r1,P,N,1,406,canary_eval_a,0.00022476247946968874,7.035730789484734e-05,4532da58fe5ad3ec1af86d2479a1bff6bb7ca2d1958befa9907e1e5ae39fb1de
half,ap_cn_r1,P,N,1,406,canary_eval_b,0.0006336141310598738,9.021026739388884e-05,db90fee8753eb1c1e39679e885459ea298c7611c8b36bfe16a43bf104c58c193
half,ap_cn_r1,P,N,1,406,canary_eval_c,0.0006599244916223586,8.562115354218955e-05,72bec812663f94c65e6a1645ff13196122c60b5b0eb945bafad7df5a93de8b0e
half,ap_cn_r1,P,N,1,406,canary_eval_d,0.00025975610447301134,0.00011032114645606662,291682871f9a35006859b4aba478bcea0037e89c0f591320e9875860552a9b3d
half,ap_cp_r0,P,P,0,401,canary_eval_a,0.0003133949797111654,4.9595170176824234e-05,2cf35551f3fe0c0cbacb088004a503d8365a6a93d8441e069f009ced180185e6
half,ap_cp_r0,P,P,0,401,canary_eval_b,0.0006021967022133057,5.4718345991501014e-05,f68487750fb2db248433fcc9597066ec06dc95cc297be3c86c3e01b35ed70a9c
half,ap_cp_r0,P,P,0,401,canary_eval_c,0.000702191629959647,5.612098103425104e-05,adfe37da7ddabee9678b74b2bada459fc9f8d6d71e61f4d7d129386876b21b2f
half,ap_cp_r0,P,P,0,401,canary_eval_d,0.00023522357684959354,5.666596386082118e-05,53652856233048cc8993280b634c9ed205725eb2447be3120554ea04c041ecb4
half,ap_cp_r0,P,P,0,402,canary_eval_a,0.0005277147024178586,0.00010012307069874816,0b63b04debbb50d93c006a25fa151f5904d48b85875931c5e9e9846b854c827e
half,ap_cp_r0,P,P,0,402,canary_eval_b,0.0005656303244270747,8.567918993409545e-05,352d13137d3d96eb8f89b00bacef3d5ebcdeba75210206ade9776068ad2f401a
half,ap_cp_r0,P,P,0,402,canary_eval_c,0.0008502938034386551,0.00012973293356361056,557990ceccad6071ba1b7902c46486856da89b0797e44c1515830200ce29fae3
half,ap_cp_r0,P,P,0,402,canary_eval_d,0.00033839051989697545,0.00012777032453456546,8930f90670fb5e36cb2cd93d0443e40920b4a9aa83f8bcd0117e51143d22ebbe
half,ap_cp_r0,P,P,0,403,canary_eval_a,0.000392066766947322,8.806997407709044e-05,3f47a9cdbb6e03c255a7b4c97ed6b7eafdd201de8ca233de2aeffa6b6fad4e2e
